Period\Time Series:,RTD.M.S0.N.C_EUR6M.E
2022-11-01,2.32123
2022-10-01,1.99738
2022-09-01,1.59609
2022-08-01,0.83704
2022-07-01,0.46648
2022-06-01,0.16168
2022-05-01,-0.14364
2022-04-01,-0.31089
2022-03-01,-0.41722
2022-02-01,-0.47615
2022-01-01,-0.52733
2021-12-01,-0.54461
2021-11-01,-0.534
2021-10-01,-0.52724
2021-09-01,-0.52241
2021-08-01,-0.52736
2021-07-01,-0.51595
2021-06-01,-0.51495
2021-05-01,-0.513
2021-04-01,-0.5158
2021-03-01,-0.516
2021-02-01,-0.5205
2021-01-01,-0.5285
2020-12-01,-0.51864
2020-11-01,-0.509
2020-10-01,-0.494
2020-09-01,-0.46264
2020-08-01,-0.4329
2020-07-01,-0.34613
2020-06-01,-0.22268
2020-05-01,-0.14305
2020-04-01,-0.192
2020-03-01,-0.36486
2020-02-01,-0.35525
2020-01-01,-0.33009
2019-12-01,-0.33555
2019-11-01,-0.33738
2019-10-01,-0.36157
2019-09-01,-0.39386
2019-08-01,-0.40495
2019-07-01,-0.34739
2019-06-01,-0.279
2019-05-01,-0.23736
2019-04-01,-0.23075
2019-03-01,-0.23024
2019-02-01,-0.2318
2019-01-01,-0.23636
2018-12-01,-0.24084
2018-11-01,-0.25659
2018-10-01,-0.26404
2018-09-01,-0.26825
2018-08-01,-0.26678
2018-07-01,-0.26918
2018-06-01,-0.26852
2018-05-01,-0.27
2018-04-01,-0.2702
2018-03-01,-0.27133
2018-02-01,-0.2749
2018-01-01,-0.27418
2017-12-01,-0.27137
2017-11-01,-0.27427
2017-10-01,-0.27391
2017-09-01,-0.27262
2017-08-01,-0.27165
2017-07-01,-0.27262
2017-06-01,-0.26682
2017-05-01,-0.25086
2017-04-01,-0.2455
2017-03-01,-0.24074
2017-02-01,-0.24055
2017-01-01,-0.23555
2016-12-01,-0.2179
2016-11-01,-0.21482
2016-10-01,-0.2071
2016-09-01,-0.19914
2016-08-01,-0.18865
2016-07-01,-0.18819
2016-06-01,-0.16241
2016-05-01,-0.1445
2016-04-01,-0.13795
2016-03-01,-0.13357
2016-02-01,-0.11529
2016-01-01,-0.0608
2015-12-01,-0.03977
2015-11-01,-0.01543
2015-10-01,0.01968
2015-09-01,0.03527
2015-08-01,0.0439
2015-07-01,0.04874
2015-06-01,0.04918
2015-05-01,0.05705
2015-04-01,0.0728
2015-03-01,0.09686
2015-02-01,0.12585
2015-01-01,0.15229
2014-12-01,0.17648
2014-11-01,0.18175
2014-10-01,0.18365
2014-09-01,0.19968
2014-08-01,0.29176
2014-07-01,0.30461
2014-06-01,0.33319
2014-05-01,0.41686
2014-04-01,0.4299
2014-03-01,0.4069
2014-02-01,0.3866
2014-01-01,0.396
2013-12-01,0.37055
2013-11-01,0.3269
2013-10-01,0.34152
2013-09-01,0.34005
2013-08-01,0.34223
2013-07-01,0.33583
2013-06-01,0.32085
2013-05-01,0.29945
2013-04-01,0.32429
2013-03-01,0.3288
2013-02-01,0.36185
2013-01-01,0.34427
2012-12-01,0.32383
2012-11-01,0.36041
2012-10-01,0.41183
2012-09-01,0.4839
2012-08-01,0.60609
2012-07-01,0.77941
2012-06-01,0.93452
2012-05-01,0.97036
2012-04-01,1.04021
2012-03-01,1.16368
2012-02-01,1.34538
2012-01-01,1.50473
2011-12-01,1.67071
2011-11-01,1.70645
2011-10-01,1.7761
2011-09-01,1.73595
2011-08-01,1.75478
2011-07-01,1.81824
2011-06-01,1.74927
2011-05-01,1.70682
2011-04-01,1.62137
2011-03-01,1.48326
2011-02-01,1.35225
2011-01-01,1.25357
2010-12-01,1.2507
2010-11-01,1.26905
2010-10-01,1.2239
2010-09-01,1.13727
2010-08-01,1.14718
2010-07-01,1.10423
2010-06-01,1.01177
2010-05-01,0.98224
2010-04-01,0.9552
2010-03-01,0.95243
2010-02-01,0.96455
2010-01-01,0.97725
2009-12-01,0.99559
2009-11-01,0.99314
2009-10-01,1.01668
2009-09-01,1.04227
2009-08-01,1.11543
2009-07-01,1.21287
2009-06-01,1.43564
2009-05-01,1.48025
2009-04-01,1.6083
2009-03-01,1.77455
2009-02-01,2.03405
2009-01-01,2.53886
2008-12-01,3.36533
2008-11-01,4.29475
2008-10-01,5.17809
2008-09-01,5.21895
2008-08-01,5.16019
2008-07-01,5.14817
2008-06-01,5.08833
2008-05-01,4.89748
2008-04-01,4.79536
2008-03-01,4.593
2008-02-01,4.35648
2008-01-01,4.50136
2007-12-01,4.81937
2007-11-01,4.62973
2007-10-01,4.66339
2007-09-01,4.75135
2007-08-01,4.59378
2007-07-01,4.35855
2007-06-01,4.28295
2007-05-01,4.19659
2007-04-01,4.09737
2007-03-01,3.99632
2007-02-01,3.94435
2007-01-01,3.88968
2006-12-01,3.78942
2006-11-01,3.72814
2006-10-01,3.64459
2006-09-01,3.52748
2006-08-01,3.40957
2006-07-01,3.28752
2006-06-01,3.15805
2006-05-01,3.05818
2006-04-01,2.95606
2006-03-01,2.87204
2006-02-01,2.72485
2006-01-01,2.65073
2005-12-01,2.60033
2005-11-01,2.50023
2005-10-01,2.27205
2005-09-01,2.16664
2005-08-01,2.15952
2005-07-01,2.13452
2005-06-01,2.10691
2005-05-01,2.14409
2005-04-01,2.17224
2005-03-01,2.19181
2005-02-01,2.1846
2005-01-01,2.192
2004-12-01,2.20648
2004-11-01,2.21732
2004-10-01,2.19062
2004-09-01,2.20032
2004-08-01,2.16909
2004-07-01,2.18782
2004-06-01,2.18845
2004-05-01,2.13605
2004-04-01,2.0614
2004-03-01,2.01852
2004-02-01,2.0859
2004-01-01,2.11543
2003-12-01,2.19948
2003-11-01,2.22405
2003-10-01,2.17265
2003-09-01,2.17764
2003-08-01,2.1721
2003-07-01,2.09252
2003-06-01,2.08433
2003-05-01,2.30838
2003-04-01,2.46945
2003-03-01,2.45071
2003-02-01,2.5777
2003-01-01,2.75814
2002-12-01,2.89235
2002-11-01,3.03686
2002-10-01,3.16761
2002-09-01,3.26952
2002-08-01,3.37977
2002-07-01,3.48361
2002-06-01,3.5903
2002-05-01,3.62636
2002-04-01,3.536
2002-03-01,3.5001
2002-02-01,3.39755
2002-01-01,3.34232
2001-12-01,3.25561
2001-11-01,3.26245
2001-10-01,3.45935
2001-09-01,3.87575
2001-08-01,4.22491
2001-07-01,4.38732
2001-06-01,4.3529
2001-05-01,4.55777
2001-04-01,4.56642
2001-03-01,4.57691
2001-02-01,4.6664
2001-01-01,4.67527
2000-12-01,4.91968
2000-11-01,5.13082
2000-10-01,5.10332
2000-09-01,5.03795
2000-08-01,5.01096
2000-07-01,4.83686
2000-06-01,4.68109
2000-05-01,4.54391
2000-04-01,4.08267
2000-03-01,3.93622
2000-02-01,3.73467
2000-01-01,3.55629
1999-12-01,3.51168
1999-11-01,3.48432
1999-10-01,3.4571
1999-09-01,3.10709
1999-08-01,3.05327
1999-07-01,2.8975
1999-06-01,2.68009
1999-05-01,2.59762
1999-04-01,2.70432
1999-03-01,3.02496
1999-02-01,3.04
1999-01-01,3.09145
1998-12-01,3.32
1998-11-01,3.62
1998-10-01,3.68
1998-09-01,3.82
1998-08-01,3.91
1998-07-01,3.95
1998-06-01,4.02
1998-05-01,4.05
1998-04-01,4.06
1998-03-01,4.04
1998-02-01,4.19
1998-01-01,4.23
1997-12-01,4.37
1997-11-01,4.51
1997-10-01,4.47
1997-09-01,4.35
1997-08-01,4.42
1997-07-01,4.31
1997-06-01,4.3
1997-05-01,4.32
1997-04-01,4.41
1997-03-01,4.5
1997-02-01,4.36
1997-01-01,4.31
1996-12-01,4.42
1996-11-01,4.53
1996-10-01,4.66
1996-09-01,4.88
1996-08-01,5.1
1996-07-01,5.07
1996-06-01,5.08
1996-05-01,5.03
1996-04-01,5.26
1996-03-01,5.49
1996-02-01,5.54
1996-01-01,5.73
1995-12-01,6.26
1995-11-01,6.43
1995-10-01,6.78
1995-09-01,6.54
1995-08-01,6.71
1995-07-01,6.99
1995-06-01,7.11
1995-05-01,7.09
1995-04-01,7.39
1995-03-01,7.74
1995-02-01,6.92
1995-01-01,7.06
1994-12-01,7
1994-11-01,6.65
1994-10-01,6.71
1994-09-01,6.73
1994-08-01,6.67
1994-07-01,6.5
1994-06-01,6.37
1994-05-01,6.21
1994-04-01,6.51
1994-03-01,6.65
1994-02-01,6.68
1994-01-01,6.67
